label,mae,mean_counts,mape
Genk - Lindebosstraat,49.45159915987398,229.7,21.5
Genk - Lindebosstraat,49.45159915987398,,
Zaventem F3 S-bocht,50.436462871746954,239.9,21.0
Zaventem F3 S-bocht,50.436462871746954,,
Maasmechelen - Fietsen door de Heide H,52.18170642693766,34.3,152.3
Maasmechelen - Fietsen door de Heide H,52.18170642693766,,
Beerse - Antwerpseweg,52.30779480948827,272.9,19.2
Beerse - Antwerpseweg,52.30779480948827,,
Brecht - Wuustwezelsteenweg (West),52.46143127018271,,
Brecht - Wuustwezelsteenweg (West),52.46143127018271,191.6,27.4
Sint-Truiden F21 Stayen,52.57189623188895,,
Sint-Truiden F21 Stayen,52.57189623188895,147.7,35.6
Lanaken F72 Cdt Giddelostraat (West),53.420256349723374,226.3,23.6
Lanaken F72 Cdt Giddelostraat (West),53.420256349723374,,
Lommel - Molsekiezel (Noord),53.696370202731714,273.4,19.6
Lommel - Molsekiezel (Noord),53.696370202731714,,
Herent - Brusselsesteenweg (Noord),55.56244544420827,,
Herent - Brusselsesteenweg (Noord),55.56244544420827,258.3,21.5
Evergem - Christoffelweg (Oost),55.77695337885936,,
Evergem - Christoffelweg (Oost),55.77695337885936,303.5,18.4
Deinze - Leiemeersdreef,56.59560803540009,,
Deinze - Leiemeersdreef,56.59560803540009,155.6,36.4
Herzele - Bokstraat,56.650502619685454,,
Herzele - Bokstraat,56.650502619685454,182.2,31.1
Lokeren - Hillarestraat (West),56.877371976231814,301.3,18.9
Lokeren - Hillarestraat (West),56.877371976231814,,
Lier - Aarschotsesteenweg (Zuid),56.91340368041552,320.3,17.8
Lier - Aarschotsesteenweg (Zuid),56.91340368041552,,
Lommel - Molsekiezel (Zuid),57.53090100867884,,
Lommel - Molsekiezel (Zuid),57.53090100867884,269.4,21.4
Peer - Baan naar Bree (Zuid),57.74525686858797,,
Peer - Baan naar Bree (Zuid),57.74525686858797,193.7,29.8
Maasmechelen - Fietsen door de Heide T,57.93638143796248,,
Maasmechelen - Fietsen door de Heide T,57.93638143796248,46.7,124.0
Ieper F381 Poperingseweg (Noord),58.271050187472696,307.8,18.9
Ieper F381 Poperingseweg (Noord),58.271050187472696,,
Ieper F381 Poperingseweg (Zuid),58.73293103848802,302.1,19.4
Ieper F381 Poperingseweg (Zuid),58.73293103848802,,
Bertem F203,58.77910680182927,96.6,60.9
Bertem F203,58.77910680182927,,
Lommel - Fietsen Door De Bomen T,59.151989310472764,59.5,99.4
Lommel - Fietsen Door De Bomen T,59.151989310472764,,
Lokeren - Hillarestraat (Oost),59.28487242387402,294.4,20.1
Lokeren - Hillarestraat (Oost),59.28487242387402,,
Geel - Winkelom (West),59.406908116460954,,
Geel - Winkelom (West),59.406908116460954,364.5,16.3
Kortrijk - Pottelberg (Oost),60.95585065759491,301.1,20.2
Kortrijk - Pottelberg (Oost),60.95585065759491,,
Tienen - Diestsesteenweg,60.965834171542845,,
Tienen - Diestsesteenweg,60.965834171542845,356.8,17.1
Kalmthout - Kalmthoutse Heide,61.432829188824,,
Kalmthout - Kalmthoutse Heide,61.432829188824,243.1,25.3
Geel - Winkelom (Oost),61.968186076335876,370.5,16.7
Geel - Winkelom (Oost),61.968186076335876,,
Zele - Huivelde,62.07992642541802,354.2,17.5
Zele - Huivelde,62.07992642541802,,
Nijlen - Grote Steenweg (Zuid),62.9665201652934,311.3,20.2
Nijlen - Grote Steenweg (Zuid),62.9665201652934,,
Assenede F423 Duvekeete,63.6046657731763,300.6,21.2
Assenede F423 Duvekeete,63.6046657731763,,
Melle F417 Geraardbergsesteenweg/Kouterslag (?),63.672878160814506,,
Melle F417 Geraardbergsesteenweg/Kouterslag (?),63.672878160814506,356.9,17.8
As - Stationsstraat,63.71340871427549,56.5,112.8
As - Stationsstraat,63.71340871427549,,
Evergem - Christoffelweg (West),64.22876914800986,,
Evergem - Christoffelweg (West),64.22876914800986,324.1,19.8
Nijlen - Grote Steenweg (Noord),64.6485120023621,316.4,20.4
Nijlen - Grote Steenweg (Noord),64.6485120023621,,
